,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Jorge Figal,ar ARG,DF,29-336,8,8,720,8.0,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,1,19,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,BocaJuniors
1,Sergio Romero,ar ARG,GK,37-011,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,BocaJuniors
2,Luis Advíncula,pe PER,"DF,MF",34-002,8,8,678,7.5,0,1,1,0,0,0,0,0,0.2,0.2,1.3,1.5,21,29,55,0.00,0.13,0.13,0.00,0.13,0.02,0.17,0.19,0.02,0.19,Matches,BocaJuniors
3,Miguel Merentiel,uy URU,FW,28-009,8,8,659,7.3,3,1,4,3,0,0,0,0,4.8,4.8,1.1,5.9,7,13,55,0.41,0.14,0.55,0.41,0.55,0.65,0.15,0.80,0.65,0.80,Matches,BocaJuniors
4,Kevin Zenon,ar ARG,"MF,FW",22-218,8,7,649,7.2,1,1,2,1,0,0,0,0,1.6,1.6,3.9,5.5,32,72,54,0.14,0.14,0.28,0.14,0.28,0.22,0.54,0.76,0.22,0.76,Matches,BocaJuniors
5,Cristian Lema,ar ARG,DF,33-346,7,7,630,7.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,6,33,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,BocaJuniors
6,Lautaro Blanco,ar ARG,DF,25-014,6,5,442,4.9,0,2,2,0,0,0,1,0,0.0,0.0,0.9,0.9,25,15,35,0.00,0.41,0.41,0.00,0.41,0.00,0.18,0.18,0.00,0.18,Matches,BocaJuniors
7,Guillermo Matías Fernández,ar ARG,MF,32-145,5,5,429,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,31,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,BocaJuniors
8,Jorman Campuzano,co COL,MF,27-309,5,5,381,4.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,6,28,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,BocaJuniors
9,Edinson Cavani,uy URU,FW,37-019,5,3,290,3.2,3,0,3,2,1,1,0,0,3.3,2.5,0.2,2.7,0,4,17,0.93,0.00,0.93,0.62,0.62,1.03,0.07,1.10,0.78,0.85,Matches,BocaJuniors
10,Cristian Medina,ar ARG,MF,21-277,3,3,247,2.7,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,7,26,17,0.36,0.00,0.36,0.36,0.36,0.11,0.01,0.12,0.11,0.12,Matches,BocaJuniors
11,Luca Langoni,ar ARG,"FW,MF",22-024,8,2,290,3.2,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,4,4,26,0.00,0.31,0.31,0.00,0.31,0.03,0.23,0.26,0.03,0.26,Matches,BocaJuniors
12,Lucas Blondel,ar ARG,"DF,MF",27-172,5,2,218,2.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,3,15,13,0.41,0.00,0.41,0.41,0.41,0.29,0.05,0.34,0.29,0.34,Matches,BocaJuniors
13,Ezequiel Bullaude,ar ARG,"MF,FW",23-130,5,2,218,2.4,0,0,0,0,0,0,2,0,0.5,0.5,1.0,1.4,6,14,13,0.00,0.00,0.00,0.00,0.00,0.19,0.40,0.58,0.19,0.58,Matches,BocaJuniors
14,Jabes Saralegui,ar ARG,MF,21-063,6,2,198,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,5,14,14,0.00,0.00,0.00,0.00,0.00,0.18,0.29,0.47,0.18,0.47,Matches,BocaJuniors
15,Mauricio Benítez,ar ARG,MF,20-030,4,2,190,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,17,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,BocaJuniors
16,Frank Fabra,co COL,DF,33-011,4,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,15,18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,BocaJuniors
17,Ignacio Fernández,ar ARG,MF,21-223,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,18,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,BocaJuniors
18,Darío Benedetto,ar ARG,FW,33-292,6,2,166,1.8,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.2,5,3,20,0.54,0.00,0.54,0.54,0.54,0.54,0.08,0.62,0.54,0.62,Matches,BocaJuniors
19,Lucas Janson,ar ARG,"FW,MF",29-201,6,2,163,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4,5,21,0.00,0.00,0.00,0.00,0.00,0.34,0.01,0.35,0.34,0.35,Matches,BocaJuniors
20,Nicolás Valentini,ar ARG,"DF,MF",22-333,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,BocaJuniors
21,Marcelo Saracchi,uy URU,DF,25-316,2,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,11,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,BocaJuniors
22,Juan Ramírez,ar ARG,"MF,FW",30-284,2,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,BocaJuniors
23,Norberto Briasco,am ARM,"FW,MF",28-004,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,Matches,BocaJuniors
24,Vicente Taborda,ar ARG,MF,22-262,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,BocaJuniors
25,Aaron Anselmino,ar ARG,DF,18-310,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,BocaJuniors
26,Lautaro Di Lollo,ar ARG,DF,19-360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,BocaJuniors
27,Javier Hernán García,ar ARG,GK,37-035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,BocaJuniors
28,Bruno Valdez,py PAR,DF,31-150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,BocaJuniors
29,Marcelo Weigandt,ar ARG,DF,24-053,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,BocaJuniors
30,Squad Total,,,29.1,8,88,720,8.0,10,6,16,9,1,1,17,0,13.3,12.5,9.8,22.3,152,391,390,1.25,0.75,2.00,1.13,1.87,1.66,1.22,2.88,1.56,2.78,,BocaJuniors
31,Opponent Total,,,27.2,8,88,720,8.0,6,4,10,6,0,0,18,0,5.7,5.7,4.5,10.3,66,197,202,0.75,0.50,1.25,0.75,1.25,0.72,0.56,1.28,0.72,1.28,,BocaJuniors
